"tanggal";"periode";"id";"nomor";"transaksi";"referensi";"model";"rekening";"debet";"credit";"pembayaran_";"bunga_";"denda_";"titipan_";"administrasi_";"modal_";"pinjaman_";"biaya_";"kantor";"keterangan";"active";"ip";"status";"user";"created";"modified"
"2018-11-01 19:33:44";"2018.11";"1809030001/PA/";"3";;;"1.1001";"1.2003";"624000";"0";"624000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60311 d";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-01 11:20:20";"2018.10";"1809030001/PB/";"2";;;"1.1001";"3.1000";"141000";"0";"0";"141000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60311 d";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-11-01 19:33:44";"2018.11";"1809030001/PB/";"3";;;"1.1001";"3.1000";"141000";"0";"0";"141000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60311 d";"yes";"192.168.0.4";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-03 18:49:58";"2018.09";"1809030001/PI/";"2";;;"1.1001";"1.2003";"0";"6240000";"0";"0";"0";"0";"0";"0";"6240000";"0";"KSP123";"Pinjaman Kontrak No. 60311 d";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-29 19:38:42";"2018.09";"1809030002/PA/";"2";;;"1.1001";"1.2003";"1387000";"0";"1387000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60358 E";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-31 19:11:07";"2018.10";"1809030002/PA/";"3";;;"1.1001";"1.2003";"1387000";"0";"1387000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 2 Kontrak No. 60358 E";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-29 19:38:42";"2018.09";"1809030002/PB/";"2";;;"1.1001";"3.1000";"187000";"0";"0";"187000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 1 Kontrak No. 60358 E";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-10-31 19:11:07";"2018.10";"1809030002/PB/";"3";;;"1.1001";"3.1000";"187000";"0";"0";"187000";"0";"0";"0";"0";"0";"0";"KSP123";"Pendapatan Bunga ke 2 Kontrak No. 60358 E";"yes";"192.168.0.2";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-03 19:01:14";"2018.09";"1809030002/PI/";"2";;;"1.1001";"1.2003";"0";"8320000";"0";"0";"0";"0";"0";"0";"8320000";"0";"KSP123";"Pinjaman Kontrak No. 60358 E";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
"2018-09-27 20:53:06";"2018.09";"1809030003/PA/";"2";;;"1.1001";"1.2003";"1040000";"0";"1040000";"0";"0";"0";"0";"0";"0";"0";"KSP123";"Pembayaran Angsuran ke 1 Kontrak No. 60436 C";"yes";"192.168.43.231";;"ROOT";"0000-00-00 00:00:00";"0000-00-00 00:00:00"
